YEAR,PERSONEL_COMMERCIAL,KARA_LISTE_KONTROL,KULLANIM_SEKLI,MARKA,TIP_GRUP,EGM_KULLANIM_SEKLI,MOTOR_GUCU,SILINDIR_HACMI,PLAKA_IL_KODU,ARAC_BEDELI,HASARSIZLIK_INDIRIMI,MEDENI_DURUM,ONCEKI_ŞIRKET,ARAC_YASI,ONCEKI_KASKO_POLICESI_VAR_MI,UYGULANAN_BASAMAK_KODU,ONCEKI_POLICE_BASAMAK_KODU,ONCEKI_POLICE_BASLANGIC_TARIHI,ONCEKI_POLICE_BITIS_TARIHI,PAKET_TIPI,EGM_CINSI,EGM_CINSI,ORJINAL_OLMAYAN_PARCA_VARMI,IKAMET_IL_KODU,ALT_KULLANIM_SEKLI,TCK_PLAKA_SORGU,CLAIM_EXPERIENCE,PERT_SORGU,ARAC_TARIFE_GRUP_KODU,IHALE_FILO_KODU,ARAC_ALT_CINS,ARAC_UST_CINS_ID,SEGMENT,AGIRLIK,ARAC_TIPI,YAKIT_TIPI,LPG_VAR_MI,MESLEK,HASAR_VAR_MI
2019,O,1,1,#N/A,DFH5FD6H,4R561446512,109,1560,52,58308,5,E,104,9,E,0,5,5/11/2018 0:00,5/11/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,52,100,0,0,,1,9999999,144RH5ER64HRE+,4,D,1578,10,D,H,45,0
2019,O,1,1,SD56G4SD5G4,1N1JTGH85FN1GF6H,4R561446512,90,1461,34,50593,3,E,104,8,E,0,2,5/12/2018 0:00,5/12/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,6,100,1,0,,1,9999999,144RH5ER64HRE+,4,C,1280,10,D,H,3,0
2019,O,1,1,XC5B4XC5B4SFD,M1GH586M1G1MH51HG,4R561446512,140,1395,34,104025,0,C,,6,H,0,999,,999,1,OTOMOBİL,SD4G54DS5G4DS,H,34,100,0,T,,1,9999999,5H4DF56H4DF,4,C,1268,10,O,H,2,0
2019,O,1,1,4GH53445,M1GH5M1GH35M,4R561446512,75,1499,9,64202,0,B,,6,H,0,999,,999,1,OTOMOBİL,SD4G54DS5G4DS,E,35,100,0,T,,1,9999999,DF4H,4,B,1108,10,D,H,45,0
2019,T,1,1,#N/A,M1GH5M1GH23,4R561446512,112,1560,34,61000,0,,63,7,E,0,1,12/15/2016 0:00,12/15/2017 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,0,100,0,0,,1,9999999,DF4H,4,C,1350,10,D,H,,0
2019,O,1,1,#N/A,1MGH5M,4R561446512,105,1598,34,85656,0,E,,7,H,0,999,,999,1,OTOMOBİL,SD4G54DS5G4DS,H,41,100,0,X,,1,9999999,144RH5ER64HRE+,4,C,1395,10,D,H,45,1
2019,O,1,1,BD4DF54H5DF,1MG5H6,4R561446512,95,1248,34,73162,1,B,25,4,E,0,0,5/14/2018 0:00,5/14/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,34,100,1,0,,1,9999999,144RH5ER64HRE+,4,C,1205,10,D,H,4,0
2019,O,1,1,45YH4ER5H4R5,MG1H5W,#N/A,70,1248,34,37166,3,C,108,14,E,0,2,5/9/2018 0:00,5/9/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,34,100,1,0,,1,9999999,#N/A,,B,0,10,D,H,3,1
2019,O,1,1,#N/A,E1W6EGWE,4R561446512,105,1598,34,79007,1,E,40,5,E,0,0,2/14/2018 0:00,2/14/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,34,100,1,0,,1,9999999,NFD4HFDHDFHFD,4,K,1420,20,D,H,3,0
2019,O,1,1,#N/A,1BDF5CXB3,4R561446512,125,1595,34,61437,5,E,104,9,E,0,4,5/13/2018 0:00,5/13/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,34,100,1,0,,1,9999999,144RH5ER64HRE+,4,D,1193,10,O,H,45,0
2019,O,1,1,DF5H45DF4H5DF,1BVD5FB3DF,4R561446512,110,1461,34,97526,1,E,93,5,E,0,0,5/9/2018 0:00,5/9/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,46,100,1,0,,1,9999999,5H4DF56H4DF,4,C,1360,10,D,H,3,1
2019,O,1,1,#N/A,W45EW,4R561446512,109,1560,6,42692,1,E,61,12,E,0,0,5/19/2018 0:00,5/19/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,6,100,1,0,,1,9999999,#N/A,4,C,1377,10,D,H,18,0
2019,O,1,1,SD56G4SD5G4,1N1JTGH85FN1GF6H,4R561446512,90,1461,6,50593,3,E,106,8,E,0,2,5/7/2018 0:00,5/7/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,6,100,1,0,,1,9999999,144RH5ER64HRE+,4,C,1280,10,D,H,45,0
2019,T,1,1,M4GH54J5GH,J1GH5MJGH,4R561446512,90,1364,31,72609,5,,54,8,E,0,4,5/18/2018 0:00,5/18/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,0,100,1,0,,1,9999999,144RH5ER64HRE+,4,C,1270,10,D,H,,0
2019,T,1,1,#N/A,1MGH5M,4R561446512,102,1595,7,50721,5,,47,12,E,0,4,2/17/2018 0:00,2/17/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,0,100,1,0,,1,9999999,144RH5ER64HRE+,4,C,1343,10,L,E,,0
2019,O,1,1,#N/A,1VC5BCV,4R561446512,105,1598,33,118533,4,E,4,6,E,0,3,5/8/2018 0:00,5/8/2019 0:00,1,OTOMOBİL,SD4G54DS5G4DS,H,33,100,1,0,,1,9999999,144RH5ER64HRE+,4,D,1543,10,D,H,45,1
